Designator,Footprint,Quantity,Value,LCSC Part #
C1,0603,1,10u,
C2,0805,1,22u,
"C3, C4",0603,2,4.7u,
D1,SMA_L4.3-W2.6-LS5.2-RD,1,SS34_C8678,
J1,WiredPad_3x2mm,1,VUSB,
J2,WiredPad_3x2mm,1,GND,
J3,WiredPad_3x2mm,1,VBAT,
J4,WiredPad_3x2mm,1,5V_PI,
J5,WiredPad_3x2mm,1,PI_EN,
J6,WiredPad_3x2mm,1,CHG_STAT,
L1,IND-SMD_L4.0-W4.0_SMNR4020,1,SMNR4020-4R7MT,C467061
R1,0402,1,2k,
R2,0603,1,30k,
R3,0603,1,220k,
R4,0402,1,10k,
U1,ESOP-8_L4.9-W3.9-P1.27-LS6.0-BL-EP,1,TP4056,
U2,SOT-23-6_L2.9-W1.6-P0.95-LS2.8-BL,1,SX1308,
